house_name,z_estimate,estimated_range_min,estimated_range_max,user_id,city_id,neighborhood_id,prices
'13456 Rolfson Burg',580368,563225,597511,58,5,22,'676429 680199 682877 686811 690703 696759 700008 700561 707010 711370 711064 714465 721444 725095 728580 731600 734915 735912 742587 743233 749835 752551 753075 756962 763390 763569 770697 770931 774216 781053 783956 788288 791701 791968 798773 799332 805421 808981 811992 815618 819429 822935 823662 826530 830193 833424 839992 843443 844261 850635 851286 854913 861355 864588 868012 872280 875106 878879 879199 885665 885998 892736 893485 900226 903320 903843 906888 911235 914212 917502 921570 924502 928210 934871 935286 938663 942330 948429 952148 953243 956033 962993 966676 970196 970848 973821 976908 983530 987496 990931 994488 997524 1001628 1004700 1008144 1012100 1012414 1018690 1019746 1026280 1026009 1030319 1033174 1036378 1043208 1047268 1047514 1051272 1057641 1058099 1064469 1065330 1071034 1074951 1078277 1081887 1082439 1088392 1092696 1092929 '
'6411 Heathcote Mills',622037,606910,637164,42,10,24,'501244 507917 507723 515059 514802 521456 525450 526031 528828 535238 539060 539699 543183 547140 553570 557138 557175 561179 567439 570743 574643 574301 578387 581900 588635 591447 591965 599123 602095 605738 605933 612887 613169 617158 623689 627037 630022 634044 634020 640457 644009 647343 648584 652019 654884 661908 661902 665384 668766 672642 679306 682797 683009 690049 692982 694079 700074 703840 706968 708005 711682 717471 720942 721826 725118 731882 735505 736161 742288 745335 749283 749944 756216 759400 762881 766521 767515 771023 776718 777442 781324 787720 788067 791266 798331 802149 802206 806194 812238 815938 819614 822998 826528 829701 832783 836260 837234 843756 846861 847433 851132 857788 858282 865012 865008 868628 871735 875345 878775 886167 888825 892917 896039 899704 903412 904081 910107 911158 917580 918136 '
'9397 Karolann Stravenue',524932,514648,535216,51,16,25,'948961 954708 955739 958866 962409 969226 972431 973334 976410 982882 983683 987511 990065 993815 997199 1001055 1007184 1007843 1014386 1018026 1021533 1025417 1028371 1028942 1032672 1036036 1039450 1043205 1046620 1050151 1053279 1060394 1063866 1067143 1070485 1074292 1074508 1081268 1084491 1088393 1091243 1094554 1098769 1101729 1105738 1109031 1112359 1112723 1116375 1122820 1123357 1126794 1133342 1137322 1137336 1143635 1147501 1148111 1151731 1157614 1158396 1162075 1165350 1171595 1172566 1175724 1182601 1183411 1189931 1193476 1193544 1196734 1203303 1204277 1207712 1210556 1217580 1221512 1221448 1224894 1231591 1231790 1235859 1242262 1245268 1246297 1252524 1253487 1259170 1262705 1264028 1266948 1273740 1277110 1280880 1280722 1287928 1290752 1294293 1298215 1301267 1302213 1308654 1312393 1315705 1318971 1323026 1325942 1329241 1330083 1333346 1337102 1341038 1346564 1347562 1353695 1354454 1357865 1364809 1365350 '
'53473 Aurelie Wall',583799,564530,603068,94,4,31,'913560 916916 920824 927478 927172 934333 934168 938091 941582 948374 951752 954967 955529 962270 962788 965773 969796 972800 979687 982738 986669 989634 993183 997560 1000712 1000776 1007221 1008385 1012073 1018526 1018730 1021710 1025328 1028864 1032832 1035882 1039716 1045766 1049942 1050122 1053627 1059908 1061100 1066706 1067330 1073748 1074215 1078301 1084349 1088187 1091202 1094667 1096010 1098803 1102925 1106446 1109327 1115821 1116246 1123493 1126693 1129938 1130409 1136715 1140434 1140816 1144399 1147639 1154786 1155465 1158411 1165547 1165128 1168914 1172134 1179169 1180068 1186124 1189448 1193124 1197042 1200365 1200913 1203655 1210436 1210996 1217396 1221551 1222029 1224921 1228765 1234925 1238929 1242304 1242322 1248963 1249777 1253014 1259447 1260434 1266932 1270281 1271016 1276973 1277384 1281000 1287851 1291106 1294316 1298535 1298971 1302317 1308861 1312322 1312844 1316521 1319999 1323434 1326494 1333447 '
'914 Heathcote Greens',509379,492814,525944,69,14,2,'804977 807807 811546 815471 818821 822016 828543 828684 835783 835758 842371 843322 849117 849744 853404 857336 860628 864481 870978 874520 877344 881007 884494 885530 891192 895385 895656 898770 902393 906383 912575 912644 919409 923166 926523 926821 933941 936758 937806 941166 947360 947774 954806 954764 958623 964972 968136 969415 972728 975743 982990 983177 987078 989787 996383 997201 1000162 1006606 1010856 1010962 1014123 1020629 1024227 1027870 1028268 1034588 1038078 1041796 1042162 1045854 1053046 1056292 1059741 1063531 1063094 1070475 1073127 1073900 1077308 1084212 1087708 1088074 1094607 1094710 1101382 1105448 1105359 1112058 1115471 1119439 1122867 1122854 1126391 1129920 1133340 1136714 1143818 1147328 1147736 1151120 1157434 1158484 1164308 1167607 1168826 1174897 1175342 1182179 1185830 1188601 1192960 1193179 1196171 1200072 1203151 1207072 1210091 1213989 1217614 1223795 '
'6732 Adella Run',880015,867777,892253,58,17,5,'662891 669568 670450 674049 676857 680996 684170 690495 693656 694497 701373 701341 704920 711609 711582 718116 718621 725133 725987 729335 732695 739105 740057 743519 750568 753572 754328 760202 763931 765080 768018 774341 777885 778623 782157 785905 792279 792653 798924 802799 805757 809834 813270 816275 819876 823801 823722 830288 830659 837679 838483 841955 845155 848403 854964 856063 859388 862733 865885 869376 876099 879452 882876 884062 889732 890112 894524 900739 903716 904487 910855 911616 915440 918713 924958 925662 931825 932826 939146 939591 942620 946585 952806 956691 960508 961052 967517 970686 970709 974555 978283 984745 987834 988973 995033 998349 1001587 1002137 1006213 1012525 1013499 1019766 1023220 1023086 1027411 1033589 1033864 1037884 1044576 1044611 1047722 1054097 1058394 1061776 1062090 1065445 1072471 1072270 1078740 1079406 '
'2072 Loma Ridge',767458,751855,783061,14,18,47,'500626 507290 507545 510707 514808 517808 524795 524861 528183 534718 534849 538530 545635 549252 552279 552988 559256 562803 563779 569828 573379 573534 577553 584120 584801 590725 591423 597411 598412 601928 608611 608964 614900 615468 622702 626019 629206 633028 636318 640104 640466 646511 647481 653762 654444 660561 661312 667478 667853 675244 678775 678366 682170 688820 689298 693115 698914 700345 703083 709446 713086 714221 717374 721262 727295 728218 734604 737610 738161 741949 748390 748507 755063 759117 758930 762609 768977 772905 776777 779505 782861 783420 787521 793353 794526 800836 801240 804643 808153 811509 817847 819031 822353 826158 832041 835876 835900 843116 843309 846997 850844 857114 860290 863603 864103 871073 874588 878214 878298 881380 888534 888440 891901 896276 899475 903103 906391 912495 913103 917262 '
'153 Thompson Track',817320,804528,830112,72,9,49,'782235 783122 789268 790017 796575 799162 803561 807136 810149 810187 813936 820263 823979 827869 831285 834715 835086 842010 845622 845683 849130 852368 859126 862902 862894 869599 873623 876860 876766 880688 883768 887669 894221 897718 897965 901564 905360 908676 915487 915652 922195 925231 926614 929910 935788 936981 943264 943353 949983 950936 953658 960856 961372 964798 968409 974174 978149 981210 984937 985463 992448 995894 996244 999668 1002746 1009912 1009823 1013307 1017475 1023565 1026732 1030913 1034315 1037946 1038525 1044931 1044674 1051412 1054822 1059106 1058784 1066003 1069394 1072358 1076044 1079430 1082704 1083550 1086840 1091016 1094279 1100954 1101389 1107444 1110810 1114974 1115137 1121413 1125244 1128911 1132475 1132787 1135690 1142775 1143225 1146930 1150268 1154009 1159942 1163218 1163969 1167569 1171162 1177765 1181384 1181934 1185169 1188779 1195221 1198925 '
'62141 Hilpert Lodge',941853,927512,956194,69,14,41,'989254 992071 999096 999238 1002853 1006339 1012584 1016097 1017258 1022905 1026469 1030623 1033501 1034142 1040873 1044653 1044597 1048408 1054708 1058826 1061587 1062689 1066131 1069708 1075885 1078968 1080218 1086192 1089454 1093423 1094177 1100464 1100548 1107207 1110762 1114101 1117760 1121106 1121466 1125844 1132091 1135090 1138778 1142824 1145806 1146565 1149755 1153174 1160395 1160779 1163694 1170860 1170787 1177455 1180818 1180987 1185161 1188617 1194706 1197914 1202154 1205740 1208595 1212265 1216238 1219101 1220279 1223414 1226612 1230308 1234361 1240018 1241079 1247357 1250857 1254087 1257537 1257906 1265201 1265356 1272361 1272099 1275854 1279179 1286141 1286245 1290218 1296674 1299514 1303516 1304083 1310623 1311193 1314706 1318031 1324763 1324448 1331084 1335015 1335552 1339352 1345110 1348933 1352419 1356080 1356015 1363152 1366046 1366537 1373059 1376792 1377153 1380832 1387109 1388189 1391002 1398288 1397978 1401439 1408660 '
'2310 Koss Trail',936705,917279,956131,27,17,14,'544946 548174 552257 558613 562134 562489 568726 569515 572810 579497 583409 586744 589772 593868 596751 597781 601485 605069 611547 614197 615353 621328 621928 625843 629079 632918 639618 639612 645788 649728 653464 654114 657417 663980 667183 670623 671076 674932 678388 682072 687770 688883 694659 695446 701669 702563 708875 709540 715997 719643 722758 723588 726962 730856 736749 740694 740962 744356 747888 751767 758645 761413 765440 768598 772360 772569 776167 782416 786181 789657 789676 796232 799758 804092 804392 810330 814481 814322 821543 821974 827775 831928 832360 835710 839047 846140 849273 852714 855793 859714 863064 863167 870460 873213 873787 877849 881246 884260 891117 891799 895342 898718 901958 908195 909326 913067 919581 922205 925701 926334 933596 937060 936741 944032 944539 950941 954115 954484 958395 961622 '
